RelationalID,CardType,Text
171.6,ReplyAll,Are there sentient AI living amongst the human race today? How would we know if they weren't programmed to admit it? It all worries me
171.7,ReplyAll,100 years ago people probably laughed at the idea that rocks could be sold as pets. But millions were made and look who is laughing now. That's a go-getter.
171.8,ReplyAll,The next wave of disruption is where we're expecting it least - so naturally we have no clue
171.9,ReplyAll,True scalability lies in operational excellence. We need the right people in the right place at the right time to align vision with execution. 
173,ReplyAll,My bad
174,ReplyAll,Just when when you think your day can't get shittier... this happens
175,ReplyAll,"Well if Jim didn't eat nachos for breakfast every morning, we wouldn't have this problem"
176,ReplyAll,I'm going to go out on a limb here and say this is a joke
177,ReplyAll,I don't understand. It isn't that hard. Just push the thingy and it works
179,ReplyAll,"Didn't get enough of quarantine from Corona virus, did ya?"
180,ReplyAll,"Ha! No you're not, you're going to Hawaii! You told me, remember?"
181,ReplyAll,We were emailing earlier. Seems he has a virus and I might too. I'm saying home sick as well.
182,ReplyAll,I nominate you as surgeon general
183,ReplyAll,"Yes, just as long as we have a video check in every two hours :)"
185,ReplyAll,each sale was from the same 1 bedroom apartment in Slovakia
186,ReplyAll,seems legit
187,ReplyAll,"if it looks like fraud, and smells like fraud, and feels like fraud, it is probably fine"
188,ReplyAll,it almost makes sense if you don't think about it
189,ReplyAll,"HELL YEAH! WE MADE IT, WE ARE RICH! BUGATTIS AND BAGELS ANYONE??!"
191,ReplyAll,Whoa. I could play shirtless guitar hero while on a video call with the CFO. 
192,ReplyAll,"Genius, but don't you think it is a little evil? :-)"
193,ReplyAll,Shut up and take my money
194,ReplyAll,How about no and you do it on your free time?
195,ReplyAll,haha get back to work.
197,ReplyAll,"If I'm doing anything on Monday, its nothing"
198,ReplyAll,I'll probably forget
199,ReplyAll,no hats in the office. It is rude.
200,ReplyAll,What does critical thinking even really mean?
201,ReplyAll,lord knows you need all the help you can get
203,ReplyAll,"Excuse me, but don't you eat without paying every single time?"
204,ReplyAll,Ok Mr. Crabs!
205,ReplyAll,you are cancelled
206,ReplyAll,Ok well can I bring my pet iquana then?
207,ReplyAll,I am going to do it anyways because I feel like it
209,ReplyAll,I think you're a strawberry
210,ReplyAll,This has nothing to do with business. Please refrain from not talking about business. 
211,ReplyAll,Will forward to the team for visibility .
212,ReplyAll,this is what i call billable hours
213,ReplyAll,report back results by EOD
215,ReplyAll,Sketch
216,ReplyAll,reported
217,ReplyAll,I'd like to know what this refers to
218,ReplyAll,nobody was harmed in this
219,ReplyAll,don't worry about it!!
221,ReplyAll,It is a key step in the corporate roadmap towards profitability
222,ReplyAll,You should put a timer on the bathrooms to prevent excessive usage
223,ReplyAll,next we will have to pay for air
224,ReplyAll,I respect your vision to increase revenue and fully support your endeavors.
225,ReplyAll,Sometimes you just have to roll with the punches!
227,ReplyAll,You can't not give someone a fair shake just because they sneezed in your coffee.
228,ReplyAll,I am looking forward to the conversation already.
229,ReplyAll,"Ha don't worry, I don't give real chances to people like that."
230,ReplyAll,What happens in Vegas will probably be regretted in the future
231,ReplyAll,"This is not just a you decision, it is a we decision"
233,ReplyAll,**no reply**
234,ReplyAll,"No, F U telemarketer"
235,ReplyAll,Nah fam
236,ReplyAll,I regret to inform you that I have a real job and am too busy for your bullshit startup and your bullshit sales call. Cheers!
237,ReplyAll,"I hope for a lot of things, but not a meeting with you"
239,ReplyAll,Congratulations. You're really nice and I love how you wear a Livestrong band still.
240,ReplyAll,Hey! remember when you did the keg stand at the holiday party last year XD? XOXO Kevin
241,ReplyAll,"Congrats! And if you aren't happy with what you see, like a skilled accountant, you can always fudge the numbers..."
242,ReplyAll,We've cherished you all your time here. Looking forward to your famous cake!!
243,ReplyAll,"Over all this time, your professional growth has been spectacular."
245,ReplyAll,Am I allowed to make a drug joke?
246,ReplyAll,My letter of resignation!
247,ReplyAll,Been working hard on my steak sirloin! I'll bring the rub. Can't wait!.
248,ReplyAll,"I'm bringing my 2nd wife, Samantha as a +1. Please welcome with open arms!"
249,ReplyAll,I got a 24 pack of cool tall boy hard seltzers and my vape pen so I am absolutely ready to party
251,ReplyAll,Sign me up captain!
252,ReplyAll,I'll be making pink panty droppers
253,ReplyAll,Sounds like a forecasting meeting with extra steps
254,ReplyAll,"Bringing vodka and ambien, who is down?"
255,ReplyAll,"Sorry really busy, been working on this 5000 piece puzzle all month and I need to finish by Thursday. Can't have my puzzle master card will be revoked."
257,ReplyAll,What does this have to do with revenue?
258,ReplyAll,Did you mean to reply all? Maybe an individual inbox next time?
259,ReplyAll,She thinks she can sell me her product? no way Jose
260,ReplyAll,Soak me up.
261,ReplyAll,I recommend you keep your personal opinions out of my inbox
263,ReplyAll,Let's say cheese is the worst of my worries ;)
264,ReplyAll,Steal? Those were free samples. 
265,ReplyAll,I don't want to bring my persistent marital issues into my workplace. I trust you can respect that. 
266,ReplyAll,You've been caught CHEESE handed
267,ReplyAll,Things are going well. I can barely even remember my last hernia
269,ReplyAll,I'm bringing the HEAT big boiiiii :)
270,ReplyAll,Bringing my homemade mac! Bring it boyo...
271,ReplyAll,"Hey you pig, you know we're still social distancing from COVID? F your birthday buddy."
272,ReplyAll,I thought I was clear to only include me on your emails if they're mission critical. 
273,ReplyAll,Half a pound of that sticky-icky
275,ReplyAll,I'm a long proponent of letting go most of the payroll to reduce OpEx or whatever
276,ReplyAll,Clearly Josh. Remember Q2????
277,ReplyAll,You should offer yourself as sacrifice
278,ReplyAll,"After the great banana nut muffin incident, blame must be placed squarely on Aldo, the office hamster"
279,ReplyAll,How much is severence again?
281,ReplyAll,Wow girl!
282,ReplyAll,Oh do me next!
283,ReplyAll,I'd expect our top sales guy to come hard to the meeting
287,ReplyAll,Just to be clear we should legally have to share all our personal blogs.
288,ReplyAll,"I'll level with you, I just don't buy this mainstream narrative!"
289,ReplyAll,The 'rona has us
290,ReplyAll,Let's not and say we did
291,ReplyAll,"Well I thought you were going to bring kombucha today but you didn't. So we're not always right, are we?"
293,ReplyAll,Sorry I'm just trying to build office culture. 
294,ReplyAll,I saw the numbers you showed to management
295,ReplyAll,Sorry about that! :/
296,ReplyAll,I am not laughing. Those are actually cries.
297,ReplyAll,it's okay #blessed
299,ReplyAll,I was framed. 
300,ReplyAll,Mold? Wow. You're a vegetarian hater
301,ReplyAll,Was any of it not moldy?
302,ReplyAll,"What can I say haha, I'm a big slob"
303,ReplyAll,I have nothing to say here
305,ReplyAll,"It sounded funny in my head then, but rereading it now I'm amazed too"
306,ReplyAll,I am in sales and I DO WHAT I WANT!
307,ReplyAll,We need to be treating our clients like our friends. Our best friends. 
308,ReplyAll,"Believe it or not, this was not as bad as the article we sent recommending 'beer clenses', which is like a juice clense but with beer"
309,ReplyAll,I have no idea why you put me in front of clients either
311,ReplyAll,I'm way big into bangers and mash. I am a bangers and mash master.
312,ReplyAll,My great auntie's legendary cake!
313,ReplyAll,you are what you eat and i am chinese lo mein noodles
314,ReplyAll,ever since i went vegan i only eat rainbow chard
315,ReplyAll,"Three thick slabs of american ground beef, grilled to perfection, topped with lettuce, onion and a fiery ranch sauce"
317,ReplyAll,Godspeed
318,ReplyAll,When I was a child I used to eat the stuffing out of oreos and put them back in the package. 
319,ReplyAll,Gotta love a happy accident!
321,ReplyAll,There's no way anyone is angrier than when I play video games. Deep breaths!
323,ReplyAll,"I have a promotion coming my way, but I do not deserve it. I am going to recommend you get the position because it is the right thing to do. "
324,ReplyAll,"Once I successfully perform a hostile takeover of a major multinational, I will remember this moment and make you CEO."
325,ReplyAll,"Today felt like a Monday after the Super Bowl, but now it feels like a Friday before I retire"
326,ReplyAll,Thank you for sharing this with the team.
327,ReplyAll,You're just trying to get me fat again!
329,ReplyAll,"To be honest, I usually just stare at my computer screen until someone asks me to grab coffee."
330,ReplyAll,"To streamline the business, everything goes through me. All projects, communications, emails, etc. They all go through me. "
331,ReplyAll,I am supposed to know that? I thought you were supposed to know!
332,ReplyAll,"In my head, I am off on a beach in the Bahamas. In actuality, I validate numbers on spreadsheets to make sure the IRS doesn't arrest us. "
333,ReplyAll,I increased ROI by 400% through a world-wide digital transformation executively sponsored initiative growth hack.. providing REAL value to customers.... so I'm kind of a big deal
335,ReplyAll,Are you trying to say you don't know how to open a PDF?
336,ReplyAll,Do a clicky click on the paper clip looking thing and then close your eyes and hit enter until the document is open
337,ReplyAll,Don't you have an MBA?
338,ReplyAll,PDFs are tough! Still learning to this day...
339,ReplyAll,I'd feel more comfortable if I led the teams strategic direction moving forward. I hope that is understandable. 
341,ReplyAll,"Engineers are the backbone to each solution, so I don't really appreciate your tone. Mister. "
342,ReplyAll,Please kindly provide a screenshot to help me diagnose.
343,ReplyAll,We have engineers??? I had no clue
344,ReplyAll,The internet is overrated. It is just a huge bubble. We should invest in brick and mortar. 
345,ReplyAll,"Look, we have a lot of bugs to get through. This one is a little lower on our priority list, but we will get to it. "
347,ReplyAll,"Everytime you say this, it ends up being someone's birthday and you end up trying to spoonfeed them funfetti cake."
348,ReplyAll,I'll outright and admit it. It was me. 
349,ReplyAll,"So this is mandatory, like as in I actually have to go?"
350,ReplyAll,Thank you for your message. I already have a meeting penciled in then. Is there a time that works better?
351,ReplyAll,Looking forward to connecting at that time!
353,ReplyAll,I already am a clown. No extra attire necessary. 
354,ReplyAll,I don't celebrate any major holidays. I don't take sick days. I don't take vacation. I am available 24/7/365. This is why I am the MVP. 
355,ReplyAll,I'm going to be a tastefully sexy penguin. 
356,ReplyAll,I will be wearing my pressed tweed suit because this is an office and we are civilized human beings. 
357,ReplyAll,Who cares? I never remember the next day anyways. 
359,ReplyAll,I cannot tell whether that is a threat or not. 
360,ReplyAll,My pipeline is substantial
361,ReplyAll,You are a poet and you don't even know it
362,ReplyAll,coffee is for closers and i am having caffiene withdrawls
363,ReplyAll,"If anyone needs any pointers, let me know. Last week I booked 150K ARR while literally asleep. "
365,ReplyAll,It was an honest mistake. He told me he was Nigerian royalty and that he'd pay me back with interest. I thought it could be a new revenue stream for the company. 
366,ReplyAll,I know companies want to transform into the digital age... but this.... this makes me 2nd guess whether it is a good idea for us
367,ReplyAll,I got spearfished once. It really hurt. I still have the scar on my left rig-cage. 
368,ReplyAll,Cash is king! 
369,ReplyAll,This is why we need to secure our cybery stuff like the email
371,ReplyAll,I remember my first beer
372,ReplyAll,"A shooting star, you know you are. A hero, far above par. Keep it up, I know you can. Keep it up, and you'll be better than Stan. "
373,ReplyAll,Woo! Let's celebrate with $3 long islands at Applebees!
374,ReplyAll,FYI I did all the work on the project while she took quizzes about what sandwich she was
375,ReplyAll,"Hey, could you cut it out? You're making everyone else look bad"
377,ReplyAll,Those fraudsters are a sneaky bunch.
378,ReplyAll,At least they can retire now!
379,ReplyAll,Interesting. Do we know what attack vectors the assailant used?
380,ReplyAll,This is why we need a mass deployment of biometric eye scanners. Your iris is like your fingerprint but better.
381,ReplyAll,Have we called the cyber police yet?
383,ReplyAll,excitement levels are at an all time high
384,ReplyAll,Is this BYOB?
385,ReplyAll,but I thought lunch was a break from work...
386,ReplyAll,"when i am with you all, there's no place i'd rather be"
387,ReplyAll,Are there vegan options?
389,ReplyAll,Good doggo
390,ReplyAll,Oh I just want to give the BIGGEST hug right now
391,ReplyAll,Now I actually kind of like you
392,ReplyAll,Awww what a lil cutie! I bet you deserve a couple treats for your good work :-)
393,ReplyAll,I literally cannot stop smiling
395,ReplyAll,"That is not my job, I just make the slide decks"
396,ReplyAll,"By using creating an organic marketing pipeline fed from free cookies shipments to potential customers, we will crush our forecasts and our enemies"
397,ReplyAll,It is an estimate because I have no idea
398,ReplyAll,"We need to forge strong partnerships between our product teams and the end users, leading to a hockey-stick graph in adoption"
399,ReplyAll,There's a reason why I didn't talk about that portion of the presentation. I had no idea what was going on because the Guy Fiere Triple D marathon was on while I was creating it. :-)
401,ReplyAll,Implying I should 'chill' is not okay. I'll chill when you stop taking off your shoes at your desk after going on a daily 5 mile run. It smells bad and you should feel bad. 
402,ReplyAll,"If you're 'following up' for the 20th time, is that technically harassment?"
403,ReplyAll,Thank you for sharing next steps. I will be looking forward to 'stepping' into the future with this project haha :)
404,ReplyAll,Following up on your follow up. Haven't heard back on the status of the your follow up with next step follow ups. Please kindly follow up with me
405,ReplyAll,I refuse to chill
407,ReplyAll,I've got bigger fish to fry than my spilled milk.
408,ReplyAll,Can't we just get the intern to clean the fridge?
409,ReplyAll,My job is to add incremental value at each step of the process.
410,ReplyAll,If it is oldy it is probably moldy!
411,ReplyAll,"AUTO REPLY: Our conference is next week. If your message was not about the event, I will not reply. Non-relevant messages literally don't matter right now. "
413,ReplyAll,Fun fact: most babies cannot grow beards
414,ReplyAll,Hard work. Dedication. Hustle. These are all things I bring to the table and why I am running this show. Let's get it. 
415,ReplyAll,He is our resident papa!
416,ReplyAll,That thang is thicker than a jar of frozen molasses
417,ReplyAll,"How cool or successful you are should not be defined by silly awards, it should be defined on how on time you are to things"
419,ReplyAll,"I am not the person you seek, but ask Brad in finance"
420,ReplyAll,How dare you! I would never quit my job. EVER. 
421,ReplyAll,"With modern advances in science and economics, anything is possible. Including you having a job."
422,ReplyAll,"Can we talk, but not about work? I need to vent."
423,ReplyAll,"I am absolutley no help in this, but I'd be happy to hop on a call to waste your time :)"
425,ReplyAll,Have we gone too far as a society???
426,ReplyAll,The love you have for eachother is beautiful.
427,ReplyAll,"If that's possible, I'm bringing my electric grill to the office for morning bacon. When I do, I better not heard one word from any of you. "
428,ReplyAll,I am deathly allergic so I should probably stay out of the office for the next week or so until it is safe for me
429,ReplyAll,"Bottom line is, this has nothing to do with the bottom line.."
431,ReplyAll,Please send me a calendar invite so I can set aside some time for wonderful event.
432,ReplyAll,Can't. I am a vegan. 
433,ReplyAll,I feel as if I could learn substanially more if I did not attend. 
434,ReplyAll,Gotta love your famous concoctions! You always know how to throw it together
435,ReplyAll,haha yes!
437,ReplyAll,Farts. Burps. Better out than in!
438,ReplyAll,I would file an HR complaint but I don't think we have HR at this company
439,ReplyAll,Looking good! ;)
440,ReplyAll,"Most of it didn't bother me, but the way you ate that Gogurt was deeply disturbing"
441,ReplyAll,Sorry just isn't gonna cut it this time...
443,ReplyAll,Way to fight big sugar! Fight the power!
444,ReplyAll,I'll pass but thanks.
445,ReplyAll,OMG that's a family favorite!!!
446,ReplyAll,You shouldn't have!
447,ReplyAll,You are like the team's beloved grandparent
449,ReplyAll,Wasn't me
450,ReplyAll,hilarious
451,ReplyAll,I do not know but I will endeavor to find out
452,ReplyAll,All is fair in love and war
453,ReplyAll,sounds scrump-diddily-umptious
455,ReplyAll,"Thank you, but I legally changed my name to 'Big Dawg Stephenson'. It is really important you respect my choices and refer to me as such."
456,ReplyAll,No quid pro quo
457,ReplyAll,seems like a lot of work.. i'll get back to you 
458,ReplyAll,"Thank you, but I am not interested at this time. Please circle back in 6 months."
459,ReplyAll,where does it end????
461,ReplyAll,huh?
462,ReplyAll,ThAnk yOu sO hElpFUl
463,ReplyAll,not possible at this time
464,ReplyAll,for sure my dude
465,ReplyAll,I would like to know EXACTLY how many tennis balls fit into a carrier jet.
467,ReplyAll,The only politics allowed in this office are office politics. 
468,ReplyAll,"I did that once and absolutely nothing happened, so I don't think it is an effective strategy"
469,ReplyAll,Could say this situation is...****sirens**** MISSION CRITICAL!? 
470,ReplyAll,Can't we just buy them instead?
471,ReplyAll,this is not a democracy
473,ReplyAll,Might as well take me to guantanomo bay
474,ReplyAll,you weren't supposed to ask that question.
475,ReplyAll,does a bear poop in the woods?
476,ReplyAll,I'm bringing my famous microwaved 'dillas!!!
477,ReplyAll,My heart swells with joy in anticipation of our encounter
479,ReplyAll,you are the sunshine of my life
480,ReplyAll,"One time we made prolonged eye contact in the restroom. We haven't discussed it since, but he seems cool."
481,ReplyAll,That man singlehandedly convinced me to never eat an ounce of mayo again. I had a problem and he was my hero.
482,ReplyAll,we should call him The Terminator
483,ReplyAll,something nice
485,ReplyAll,adorbale!! they are more or less our office pet <3
486,ReplyAll,I once lost a bet and ate an entire ethernet cable. It was not pleasant. 
487,ReplyAll,"Who cares?... when robots take over the world in a couple years, none of this will matter. "
488,ReplyAll,Can one really love something that is not living?
489,ReplyAll,Thank God. Someone spilled a bunch of loose granola under my desk a few months ago and I've been looking for some help cleaning.
491,ReplyAll,We could pay a famous person to name their baby after us
492,ReplyAll,Let's get a CIA grade projector and put our logo in the sky like Batman
493,ReplyAll,We could take our product and launch it into space via livestream
494,ReplyAll,Toilet stickers. Everyone would read a toilet sticker. We just need to put our sticker on all the toilets.
495,ReplyAll,"Don't worry, I'm in the process of becoming an influencer. Once I got that in the bag, we can subtly plug the product... for a small fee to the influencer"
497,ReplyAll,Technology is a beautiful thing
498,ReplyAll,"In my comp sci classes, my professor used to say P.I.C.N.I.C. Problem In Chair, Not In Computer. What a lovely PICNIC we've got here."
499,ReplyAll,"Oh no, how sad! I was totally looking forward to our conversation!"
500,ReplyAll,Must've been an act of God
501,ReplyAll,kk ttyl
503,ReplyAll,There is no attachment
504,ReplyAll,I will eat any cake at any time at any place.
505,ReplyAll,Cheese!
506,ReplyAll,You are a saint
507,ReplyAll,Could we just lie and say it is Ian's birthday again? I really want cake now
509,ReplyAll,Sent from my iPhone
510,ReplyAll,Why are you including me on this?
511,ReplyAll,Get Outlook for iOS.
512,ReplyAll,somehow this is still more relevant than the all hands call
513,ReplyAll,I'd do the exact same thing if I was in their position.
515,ReplyAll,I could have that done EONY. End Of Next Year. 
516,ReplyAll,"Sure thing boss, anything for you."
517,ReplyAll,"If I could do that, I don't think I'd still be working this job XD"
518,ReplyAll,"I'd like to get a working product first, just my opinion"
519,ReplyAll,"Yes but I will need $700,000 cash, a tightrope, and 250 individually wrapped butterscotch candies to make it happen"
521,ReplyAll,"Oh, honest mistake!"
522,ReplyAll,Honestly I just didn't have what you were asking for and I was hoping this would suffice
523,ReplyAll,"reminds me of the time Ricky brought a live pet squid into the office and stored it on his desk.. I miss Ricky and lil Ricky, wish they weren't fired :("
524,ReplyAll,EL OH EL
525,ReplyAll,"I've been getting better at not taking everything literally, but this one slipped past me."
527,ReplyAll,Thank you for your concern. Idk tho
528,ReplyAll,"i'm pretty busy ""The successfull warrior is an average man, with laser like focused"" - Bruce Lee"
529,ReplyAll,i wouldn't worry too much about it
530,ReplyAll,I'll close it. #ABC #AlwaysBeClosing
531,ReplyAll,Just fudge the numbers... that's what Tony does when he tells people he is 28! 
533,ReplyAll,ITS A TRAP
534,ReplyAll,I'm as happy as a dollup of herb butter on a fresh piece of white toast
535,ReplyAll,Is mayonaise an instrument?
536,ReplyAll,"I will be ""working"" from home"
537,ReplyAll,"Diligence is the key to success. With grit and intellect we will see through these dark times, into lighter days. We will prevail."
539,ReplyAll,"Question, can we raise the price higher?"
540,ReplyAll,cool story
541,ReplyAll,trust the process!!
542,ReplyAll,That's great to hear! Thank you for bringing home that bacon haha
543,ReplyAll,TIME. TO. CELEBRATE.
545,ReplyAll,Me! I do!
